Date,spy,spy_lag1,sp500,nasdaq,dji,cac40,daxi,aord,hsi,nikkei,Price
2015-10-15,-0.09999099999998862,-0.47000099999999634,-7.190063000000009,-1.9199220000000423,-134.22070299999905,43.35009799999989,51.149413999999524,35.20019599999978,220.75,291.9902349999975,200.080002
2015-10-16,2.75,-0.09999099999998862,27.90002400000003,72.92968699999983,196.890625,50.790039000000434,129.16992199999913,38.10009700000046,-66.22070299999905,-9.029296999997314,202.830002
2015-10-19,-0.33000200000000746,2.75,7.3599850000000515,1.1801760000007562,67.67968800000017,-5.040039000000434,-44.199217999999746,0.89990299999954,-10.0,-151.5488280000027,202.5
2015-10-20,0.3500060000000076,-0.33000200000000746,1.4000249999999141,26.479980999999498,19.04101499999888,10.669920999999704,90.18945300000087,-33.0,-2.3789060000017344,-38.38867200000095,202.850006
2015-10-21,0.7599950000000035,0.3500060000000076,0.339966000000004,3.9599600000001374,-2.541014999998879,-16.819823999999244,10.620116999998572,14.899902000000111,-2.3789060000017344,386.63867200000095,203.610001
2015-10-22,-0.6300050000000113,0.7599950000000035,-11.589966000000004,-28.020019000000502,-45.04882899999939,-16.22021500000028,27.589844000000085,13.100097999999889,49.78906300000017,-7.820311999999831,202.979996
2015-10-23,4.270004,-0.6300050000000113,36.30993600000011,148.41992200000004,344.2285159999992,165.16992200000004,397.32031200000165,88.5,-68.44140600000173,62.65039000000252,207.25
2015-10-26,0.050003000000003794,4.270004,16.890136999999868,6.419922000000042,124.46093800000017,68.0102539999998,180.8496099999993,-1.800293000000238,-307.390625,-89.01171800000157,207.300003
2015-10-27,-1.1000060000000076,0.050003000000003794,-6.330077999999958,-11.809570999999778,-40.67968800000017,-23.240233999999873,-29.809570999999778,-1.699706999999762,89.61132799999905,-184.12109300000157,206.199997
2015-10-28,0.8000030000000038,-1.1000060000000076,-2.2700199999999313,21.389648999999736,-22.201172000000952,-27.239746000000196,-33.209961000000476,-10.200195999999778,-114.1289059999981,76.08007800000269,207.0
2015-10-29,1.3500060000000076,0.8000030000000038,21.87011799999982,30.660156000000825,184.81054700000095,35.02978499999972,139.03027400000065,-64.19970699999976,-234.5898440000019,-110.44921800000157,208.350006
2015-10-30,0.7099919999999997,1.3500060000000076,1.649902000000111,8.719726999999693,-14.900390999999217,2.149902000000111,-24.670899000000645,-21.60009700000046,-145.82031199999983,158.78906199999983,209.059998
2015-11-02,-0.7399910000000034,0.7099919999999997,-9.239990000000034,-14.119628999999804,-83.98046800000157,-46.16992200000004,-92.53906199999983,-67.30029300000024,-132.24023400000078,-143.86914099999922,208.320007
2015-11-03,1.6499939999999924,-0.7399910000000034,21.869873000000098,48.66992200000004,147.12109300000157,71.16015700000025,195.3691400000007,69.9003900000007,-34.72070299999905,-143.86914099999922,209.970001
2015-11-04,1.3800050000000113,1.6499939999999924,7.9702149999998255,41.310058000000026,109.83984399999827,31.169920999999704,11.709960999998657,3.599609999999302,316.1308600000011,-14.410156999998435,211.350006
2015-11-05,-0.9200130000000115,1.3800050000000113,-8.920165999999881,-11.47021500000028,-58.33007799999905,16.75,-109.55956999999944,-46.89990299999954,5.939453999999387,86.97070300000269,210.429993
2015-11-06,-0.6899879999999996,-0.9200130000000115,-3.079834000000119,-20.109862999999677,-16.029297000000952,-3.0600580000000264,25.480469000000085,29.900390000000698,-46.86914099999922,71.25976500000252,209.740005
2015-11-09,-0.43000699999998915,-0.6899879999999996,-2.040038999999979,4.8999019999992015,45.558594000001904,13.959961000000476,120.2597650000007,-89.4003900000007,-26.740234999997483,231.23046800000157,209.309998
2015-11-10,-1.8000030000000038,-0.43000699999998915,-19.37011799999982,-60.390135999999984,-176.64843800000017,-41.46972699999969,-146.2802730000003,-22.599609999999302,-104.0,214.20898499999748,207.509995
2015-11-11,1.3700100000000077,-1.8000030000000038,6.219970999999987,29.580077999999958,45.36914099999922,-18.270019000000502,-3.2802730000003066,23.39990299999954,-41.980468999998266,89.38085900000078,208.880005
2015-11-12,-2.3800050000000113,1.3700100000000077,-11.119873000000098,-55.02978499999972,-77.57031199999983,22.159668000000238,52.06054600000061,1.10009700000046,411.32031300000017,53.11914000000252,206.5
2015-11-13,-2.1499939999999924,-2.3800050000000113,-27.65002400000003,-62.24023500000021,-252.67968800000017,-105.56982500000049,-131.1699210000006,-70.4003900000007,-97.94921899999827,101.65039000000252,204.350006
2015-11-16,-2.0299990000000037,-2.1499939999999924,-22.56005899999991,-64.71972599999935,-209.31054700000095,-78.77001899999959,-155.43066499999986,-47.29980499999965,52.54101599999922,129.72851499999888,202.320007
2015-11-17,3.6699979999999925,-2.0299990000000037,31.589966000000004,75.56982399999924,257.05078100000173,93.37011700000039,201.78027399999883,109.79980499999965,-50.92968800000017,-11.03906300000017,205.990005
2015-11-18,0.049988000000013244,3.6699979999999925,-1.679932000000008,12.890137000000323,-1.5,50.83007799999996,90.82031200000165,14.800293000000238,-143.50976500000252,-122.67968699999983,206.039993
2015-11-19,2.550003000000004,0.049988000000013244,31.70996100000002,74.06982400000015,254.33984399999827,42.77978499999972,160.13964899999883,0.0,76.33984399999827,8.57031300000017,208.589996
2015-11-20,0.8600009999999827,2.550003000000004,-0.8798830000000635,18.290038999999524,-7.080077999999048,-14.560058000000026,61.92968699999983,12.200195000000349,244.27148400000078,79.61132800000269,209.449997
2015-11-23,-0.06999199999998496,0.8600009999999827,6.589844000000085,9.760254000000714,90.859375,-27.659668000000238,-17.889648000000307,21.0,-94.15039000000252,79.61132800000269,209.380005
